"DateTime","Final price","Flags"
"2020-12-25 08:05:03",16.79,
"2021-02-11 18:05:33",13.43,
"2021-02-13 18:05:09",16.79,
"2021-06-24 19:03:06",13.43,
"2021-07-08 18:02:20",16.79,
"2021-12-22 18:10:12",13.43,
"2021-12-22 18:13:21",13.43,
"2022-01-05 18:10:03",16.79,
"2022-01-27 18:24:16",13.43,
"2022-02-03 18:24:24",16.79,
"2022-03-14 18:40:07",12.59,
"2022-03-21 17:22:57",16.79,
"2022-06-23 17:12:06",10.07,
"2022-07-07 17:27:56",16.79,
"2022-10-25 17:19:26",12.59,
"2022-11-01 17:22:49",16.79,
"2022-11-22 18:11:38",12.59,
"2022-11-29 18:27:58",16.79,
"2022-12-22 18:12:00",11.75,
"2023-01-05 18:30:31",16.79,
"2023-03-16 17:24:10",12.59,
"2023-03-23 17:24:19",16.79,
"2023-06-29 13:27:03",16.79,